"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
918,"Клуб МБОУ ДОД ДЮСШ "Старт"","Ненецкий автономный округ","Юбилейная, 80а, п.Искателей, Россия, 166002","25.12.2014"
919,"Спортивный зал МАОУ ДОД ДЮСШ","Липецкая область","Шахрая, 40, Лебедянь, Россия, 399610","25.12.2014"
920,"Спортивный зал "Геркулес"","Ростовская область","пр.Шолохова, 29св, Ростов-на-Дону, Россия, 344004","25.12.2014"
921,"Плавательный бассейн спортивного комплекса "Акватика"","Томская область","Ленина проспект, 207, Томск, Россия, 634009","25.12.2014"
922,"Крытый спортивный комплекс без трибун для зрителей","Санкт-Петербург","Ораниембаумский пр., 40сА, г.Ломоносов, Россия, 195220","25.12.2014"
923,"Спортивный зал МАОУ ДОД "СДЮСШОР" г. Светлый","Калининградская область","Харьковская, 2, Светлый, Россия, 238340","12.01.2015"
924,"МУП "Арена "Мытищи"","Московская область","Летная, 17, Мытищи, Россия, 141018","25.12.2014"
925,"Учебно-спортивный комплекс","Пермский край","Кабалевского, 27/1, Чайковский, Россия, 617764","24.12.2014"
926,"Лыжная база по ул. Венской","Сахалинская область","Венская, 5, Южно-Сахалинск, Россия, 693010","12.01.2015"
927,"Стадион "Энергия"","Пермский край","Советская, 49, Чайковский, Россия, 617760","24.12.2014"
928,"Универсальный спортивный зал СК "Юниор"","Тюменская область","Чернышова, 17, Нягань, Россия, 628186","12.01.2015"
929,"Крытый плавательный бассейн","Пермский край","Кабалевского, 27/1, Чайковский, Россия, 617764","24.12.2014"
930,"Спортивный комплекс "Металлург"","Самарская область","Строителей, 1, Самара, Россия, 443051","15.04.2014"
931,"Спортивный зал ГБОУ ДОД ВО "СДЮСШОР по спортивной гимнастике им.Ю.Э.Штукмана"","Воронежская область","Ф.Энгельса, 22са, Воронеж, Россия, 394000","12.01.2015"
