"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
125,"стадион "Родина" АУ "Арена Химки"","Московская область","Чкалова, 4, Химки, Россия, 141400","10.01.2013"
126,"Спортивный комплекс (футбольное поле с искусственным покрытием, универсальная игровая площадка)","Мурманская область","Фестивальная, 21, Апатиты, Россия, 184209","17.01.2013"
127,"Хокейная коробка МБОУ ДОД "ДЮСШ "Универсал" г.Апатиты","Мурманская область","Фестивальная, 10, Апатиты, Россия, 184209","17.01.2013"
128,"Большая спортивная арена МУ культурно-спортивный центр "Лотошино"","Московская область","Центральная, 18, Лотошино, Россия, 143800","18.01.2013"
129,"Спортивно-оздоровительный комплекс "Бобровый лог"","Красноярский край","Сибирская, 96, Красноярск, Россия, 660006","07.03.2013"
130,"Футбольное поле с искусственным покрытием МБУ "ФСК "Прохоровское поле"","Белгородская область","Советская, 256, Прохоровка, Россия, 309000","21.01.2013"
131,"Стадион РЦПФ ГБОУ ДОД "АР СДЮСШОР по футболу"","Республика Адыгея","Конституции, 8, Майкоп, Россия, 385003","21.01.2013"
132,"МУП "Муниципальный детский центр хоккея и фигурного катания"","Московская область","Молодежная ул, 15, Одинцово, Россия, 143000","22.01.2013"
134,"Государсвтенное автономное учреждение Республики Мордовия "Ледовый дворец"","Республика Мордовия","Красная, 40, Саранск, Россия, 430005","23.01.2013"
135,"Специализированный зал по велоспорту - ВМХ ГБУ ДОД "СДЮШОР по велоспорту - ВМХ"","Республика Мордовия","Строительная , 13, Саранск, Россия, 430030","29.01.2013"
136,"стадион "Знамя труда"","Московская область","Торфобрикетная, 12, Орехово-Зуево, Россия, 142600","30.01.2013"
137,"спортивный зал бадминтона МАОУ ДОД СДЮШОР г.Перми","Пермский край","Сысольская, Пермь, Россия, 614032","30.01.2013"
140,"АУ РК "Центральный республиканский стадион "Спартак"","Республика Карелия","Герцена, 1, Петрозаводск, Россия, 185035","30.01.2013"
141,"Лыжные трассы ГУ УСЦ "Чайка"","Самарская область","п.Управленческий, 7250, Самара, Россия, 443026","30.01.2013"
142,"Бюджетное образовательное учреждение Чувашской Республики ДОД "СДЮСШОР №6 по спортивной гимнастике"","Чувашская Республика","Тимофея Кривова, 13, Чебоксары, Россия, 428017","30.01.2013"
143,"ГБУ Тверской области "Спорткомплекс "Юбилейный"","Тверская область","Краснофлотская, 3, Тверь, Россия, 170006","15.02.2013"
144,"Спортивное ядро "Западное" МАУ "ЦСП "Заря"","Новосибирская область","Спортивная, 2, Новосибирск, Россия, 630071","31.01.2013"
145,"Спортивный комплекс крытого футбольного манежа МАУ "ЦСП "Заря"","Новосибирская область","Спортивная, 2, Новосибирск, Россия, 630071","31.01.2013"
146,"Спортивное ядро "Воточное" МАУ "ЦСП "Заря"","Новосибирская область","Спортивная, 2, Новосибирск, Россия, 630071","31.01.2013"
147,"ГБУ ДОД "СДЮШОР по баскетболу и волейболу" Республика Мордовия, г.Саранск","Республика Мордовия","Проспект 70 лет Октября, 102, Саранск, Россия, 430000","28.02.2013"
148,"Учреждение "Учебно-спортивный центр "Труд"","Москва","Варшавское ш, 14, Москва, Россия, 117105","04.02.2013"
149,"МОУ ДОД ДЮСШ многофункциональный спортивный комплекс ФОК "Газовик"","Саратовская область","Рабочая, 39, Балашов, Россия, 412309","04.02.2013"
150,"Спортивный комплекс ГБОУ ДОД СДЮШОР","Краснодарский край","Лавриненко, 1, Армавир, Россия, 352902","08.02.2013"
151,"Ледовый дворец спортивного комплекса "Факел"","Красноярский край","остров Отдыха, 12, Красноярск, Россия, 660093","06.02.2013"
152,"Спортивно-зрелищный комплекс на 7000 мест с плавательным бассейном","Астраханская область","Н.Островского, 147, Астрахань, Россия, 414022","12.02.2013"
153,"Футбольное поле стадиона "Старт"","Воронежская область","Советская, 144, Новохоперск, Россия, 397401","06.02.2013"
154,"Государственное автономное образовательное учреждение дополнительного образования детей "Детско-юношеская спортивная школа Дворца спорта "Олимпийский"","Рязанская область","Зубковой, 12с2, Рязань, Россия, 390037","06.02.2013"
155,""Спортивный центр с плавательным бассейном"","Волгоградская область","8й Воздушной Армии, 12, Волгоград, Россия, 400137","08.02.2013"
156,"Сноуборд-парк, фристайл-центр с инженерной защитой территории","Краснодарский край","Сочи, Россия, 354392","08.02.2013"
157,"ГБУ ДОД "СДЮСШОР по баскетболу и волейболу"","Республика Мордовия","70 лет Октября, 102сА, Саранск, Россия, 430000","28.02.2013"
158,"ГАУ Астраханской области "Спорткомплекс новое поколение"","Астраханская область","Луконина, 6са, Астрахань, Россия, 414057","12.02.2013"
159,"Центральный стадион","Свердловская область","Репина, 5, Екатеринбург, Россия, 620028","12.02.2013"
160,"Муниципальное учреждение "Спортивный комплекс "Труд"","Московская область","Кл.Готвальда, 4, Подольск, Россия, 142114","15.02.2013"
161,"стадион "Горняк" муниципального бюджетного учреждения "Спортивный комплекс "Горняк"","Белгородская область","Спортивный проезд, 3, Губкин, Россия, 309183","15.02.2013"
162,"Дворец спорта "Спартак"","Астраханская область","Победы, 55, Астрахань, Россия, 414040","15.02.2013"
163,"стадион "Центральный" ГАУ Астраханский клуб "Волгарь"","Астраханская область","Латышева, 3, Астрахань, Россия, 414053","26.02.2013"
164,"Спортивный комплекс "Локомотив" (крытый тренировочный каток)","Ярославская область","Гагарина, 15, Ярославль, Россия, 150023","26.02.2013"
165,"Стадион "Центральный"","Краснодарский край","Советов, 55, Новороссийск, Россия, 353900","26.02.2013"
166,"Спортивный зал МБОУ ДОД "Детско-юношеская спортивная школа "Искра" г.Перми","Пермский край","Красноуральская, 37сА, Пермь, Россия, 614056","26.02.2013"
167,"Универсальный культурно-развлекательный комплес "Арена - 2000.Локомотив"","Ярославская область","Гагарина, 15, Ярославль, Россия, 150023","26.02.2013"
168,"ООО "Центральный стадион профсоюзов"","Мурманская область","Челюскинцев, 1, Мурманск, Россия, 183038","26.02.2013"
169,""Сноуборд-парк, фристайл-центр с инженерной защитой территории"","Краснодарский край","Красная поляна, Сочи, Россия, 354392","08.02.2013"
170,""Спортивно-оздоровительный комплекс многофункционального назначения"","Московская область","Махова, 18, Раменское, Россия, 140105","17.12.2012"
171,"Дворец спорта муниципального бюджетного учреждения города Апатиты Учебно-спортивный центр "Атлет"","Мурманская область","Победы, 4, Апатиты, Россия, 184209","19.02.2013"
